jid;LastName;FirstName;Gender;CourtType;President;Party 
3563;Abrams;Leslie;Female;U.S. District Court;Barack Obama;Democratic
3419;Abrams;Ronnie;Female;U.S. District Court;Barack Obama;Democratic
1;Abruzzo;Matthew;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
2;Acheson;Marcus;Male;U.S. District Court;Rutherford B. Hayes;Republican
3;Acker;William;Male;U.S. District Court;Ronald Reagan;Republican
4;Ackerman;Harold;Male;U.S. District Court;Jimmy Carter;Democratic
5;Ackerman;James;Male;U.S. District Court;Gerald Ford;Republican
6;Acosta;Raymond;Male;U.S. District Court;Ronald Reagan;Republican
7;Adair;J[ackson];Male;U.S. District Court;Franklin D. Roosevelt;Democratic
8;Adams;Arlin;Male;U.S. Court of Appeals;Richard M. Nixon;Republican
9;Adams;Elmer;Male;U.S. District Court;Grover Cleveland;Democratic
10;Adams;George;Male;U.S. District Court;Andrew Jackson;Democratic
11;Adams;George;Male;U.S. District Court;William McKinley;Republican
12;Adams;Henry;Male;U.S. District Court;William J. Clinton;Democratic
2989;Adams;John;Male;U.S. District Court;George W. Bush;Republican
3295;Adamson;William;Male;Other;None (reassignment);None (reassignment)
2717;Adelman;Lynn;Male;U.S. District Court;William J. Clinton;Democratic
13;Adkins;Jesse;Male;U.S. District Court;Herbert Hoover;Republican
14;Adler;Simon;Male;U.S. District Court;Calvin Coolidge;Republican
2927;Africk;Lance;Male;U.S. District Court;George W. Bush;Republican
3174;Agee;G.;Male;U.S. Court of Appeals;George W. Bush;Republican
15;Aguilar;Robert;Male;U.S. District Court;Jimmy Carter;Democratic
2750;Aiken;Ann;Female;U.S. District Court;William J. Clinton;Democratic
16;Ainsworth;Robert;Male;U.S. District Court;John F. Kennedy;Democratic
17;Akerman;Alexander;Male;U.S. District Court;Calvin Coolidge;Republican
18;Alaimo;Anthony;Male;U.S. District Court;Richard M. Nixon;Republican
19;Alarc�n;Arthur;Male;U.S. Court of Appeals;Jimmy Carter;Democratic
5198506;Albright;Alan;Male;U.S. District Court;Donald J. Trump;Republican
20;Albritton;William;Male;U.S. District Court;George H.W. Bush;Republican
