;Speaker;date;fname;title;location;comment
M0001;McCain;April 25, 2007;McCainSpeeches07.txt;Senator McCain's Announcement Speech;;U.S. Senator John McCain will officially announce his candidacy for the President of the United States today in Portsmouth, New Hampshire with remarks at a 12:00 p.m. EDT rally in Prescott Park. Below are Senator McCain's remarks, as prepared for delivery
M0002;McCain;May 1, 2007;McCainSpeeches07.txt;Senator McCain Addresses The Hoover Institution on U.S. Foreign Policy>;;Senator McCain Addresses The Hoover Institution on U.S. Foreign Policy at Stanford University in Stanford, California at 12:00 p.m. PDT. Below are Senator McCain's remarks, as prepared for delivery
M0003;McCain;May 21, 2007;McCainSpeeches07.txt;Senator McCain Addresses The Oklahoma State Legislature on Government Reform>;;Senator McCain Addresses The Oklahoma State Legislature on Government Reform at 3:45 p.m. CDT. Below are Senator McCain's remarks, as prepared for delivery
M0004;McCain;June 18, 2007;McCainSpeeches07.txt;Commencement Address at the U.S. Merchant Marine Academy>;;U.S. Senator John McCain will deliver the commencement address at the U.S. Merchant Marine Academy Commencement Ceremony on Monday, June 18th at 10:00 a.m. EDT. Below are Senator McCain's remarks, as prepared for delivery
M0005;McCain;June 20, 2007;McCainSpeeches07.txt;Senator John McCain Address On Latin America To The Florida Association Of Broadcasters>;;
M0006;McCain;July 13, 2007;McCainSpeeches07.txt;Senator McCain Addresses the Concord Chamber of Commerce on Defeating Our Enemies>;;U.S. Senator John McCain will deliver remarks to the Concord Chamber of Commerce at 1:00 pm EDT. Below are Senator McCain's remarks as prepared for delivery>
M0007;McCain;July 18, 2007;McCainSpeeches07.txt;Statement by John McCain about the Levin-Reed amendment to the National Defense Authorization Act of FY 2008>;;U.S. Senator John McCain (R-AZ) made the following statement on the Senate floor about the Levin-Reed amendment to the National Defense Authorization Act of FY 2008 at 3:45am on July 18, 2007.
M0008;McCain;July 18, 2007;McCainSpeeches07.txt;John McCain Addresses the Christians United for Israel>;;U.S. Senator John McCain (R-AZ) addressed the national convention of Christians United for Israel in Washington, DC on Tuesday, July 17th. The remarks as prepared for delivery are below.
M0009;McCain;August 6, 2007;McCainSpeeches07.txt;John McCain Discusses Private Property Rights In An Address To The Cedar Rapids Rotary Club>;;U.S. Senator John McCain will deliver remarks to the Cedar Rapids Rotary Club today, Monday, August 6th at 12:15 p.m. CDT. Below are Senator McCain's remarks as prepared for delivery
M0010;McCain;August 20, 2007;McCainSpeeches07.txt;John McCain Addresses The 108th National Convention Of The Veterans Of Foreign Wars>;;U.S. Senator John McCain will deliver remarks to the 108th National Convention of the Veterans of Foreign Wars today, Monday, August 20th at 11:00 a.m. CDT. Below are McCain's remarks as prepared for delivery
M0011;McCain;August 27, 2007;McCainSpeeches07.txt;McCain Addresses The National Guard Association Of The United States>;;U.S. Senator John McCain (R-AZ) today addressed the National Guard Association of the United States conference in San Juan, Puerto Rico. The remarks, as prepared for delivery, are as follows.>
M0012;McCain;September 8, 2007;McCainSpeeches07.txt;"McCain Addresses CA GOP: ""Reagan stood tall"" So Must We>";;John McCain delivered the following remarks to the California Republican Party Convention today, Saturday, September 8th at 12:00 p.m. PDT. Below are McCain's remarks as prepared for delivery
M0013;McCain;September 21, 2007;McCainSpeeches07.txt;John McCain Addresses The National Rifle Association>;;John McCain delivered remarks to the National Rifle Association Friday, September 21st at 9:30 a.m. EDT. Below are McCain's remarks as prepared for delivery
M0014;McCain;September 22, 2007;McCainSpeeches07.txt;Address to the Mackinac Republican Leadership Conference>;;U.S. Senator John McCain delivered remarks to the Mackinac Republican Leadership Conference on Saturday, September 22nd at 8:00 p.m. EDT.  Below are McCain's remarks as prepared for delivery
M0015;McCain;September 27, 2007;McCainSpeeches07.txt;John McCain's Address to the Hudson Institute>;;
M0016;McCain;September 28, 2007;McCainSpeeches07.txt;John McCain Addresses the 2007 Hispanic Business Expo>;;
M0017;McCain;October 9, 2007;McCainSpeeches07.txt;Address To Detroit Economic Club>;;U.S. Senator John McCain delivered remarks to the Detroit Economic Club on Tuesday, October 9th at 9:45 a.m. EDT.  Below are McCain's remarks as prepared for delivery
M0018;McCain;October 11, 2007;McCainSpeeches07.txt;John McCain on Health Care>; Des Moines Rotary Lunch;
M0019;McCain;October 19, 2007;McCainSpeeches07.txt;Address to the Values Voter Summit>;;U.S. Senator John McCain will deliver remarks to the Values Voter Summit today, Friday, October 19th at 9:20 a.m. EDT in Washington, DC.  Below are McCain's remarks as prepared for delivery
M0020;McCain;October 20, 2007;McCainSpeeches07.txt;John McCain Addresses the Presidency IV Forum>;;U.S. Senator John McCain will deliver remarks to the Presidency IV Forum today, Saturday, October 20th at 5:00p.m. EDT in Orlando, Florida. Below are McCain's remarks as prepared for delivery
M0021;McCain;November 5, 2007;McCainSpeeches07.txt;John McCain Addresses Conference on Bio Economy in Ames, IA;;U.S. Senator John McCain delivered remarks to a conference on growing the bioeconomy at Iowa State University in Ames today, Monday, November 5th at 7:30 p.m. CST. Below are McCain's remarks as prepared for delivery>
M0022;McCain;November 19, 2007;McCainSpeeches07.txt;McCain Addresses Franklin Pierce University>;;U.S. Senator John McCain delivered remarks to a Town Hall Meeting at Franklin Pierce University in Rindge, New Hampshire today, Sunday, November 18th at 6:15 p.m. EST. Below are McCain's remarks as prepared for delivery
M0023;McCain;December 10, 2007;McCainSpeeches07.txt;Remarks to the Center for Hydrogen Research;;
M0024;McCain;January 8, 2008;McCainSpeeches0801.txt;Remarks By John McCain On New Hampshire Primary Victory>;;U.S. Senator John McCain tonight delivered the following remarks in Nashua, New Hampshire, on his victory in the New Hampshire Primary
M0025;McCain;January 12, 2008;McCainSpeeches0801.txt;Remarks To Americans For Prosperity Michigan Summit>;;U.S. Senator John McCain today delivered remarks to Americans for Prosperity's Defending the American Dream Summit in Livonia, Michigan. Below are McCain's remarks as prepared for delivery
M0026;McCain;January 19, 2008;McCainSpeeches0801.txt;Remarks by John McCain on South Carolina Primary Victory;;
M0027;McCain;February 7, 2008;McCainSpeeches0802.txt;Remarks By John McCain to CPAC>;;U.S. Senator John McCain's presidential campaign today released the following remarks by John McCain as prepared for delivery
M0028;McCain;February 13, 2008;McCainSpeeches0802.txt;Remarks By John McCain To Potomac Primary Victory Party;;U.S. Senator John McCain's presidential campaign today released the following remarks by John McCain as prepared for delivery tonight Alexandria, Virginia
M0029;McCain;March 25, 2008;McCainSpeeches0803.txt;John McCain Addresses the Housing Crisis;;John McCain Addresses the Orange County Hispanic Small Business Roundtable>
M0030;McCain;March 26, 2008;McCainSpeeches0803.txt;Remarks By John McCain To The Los Angeles World Affairs Council>;;U.S. Senator John McCain's will deliver the following remarks as prepared for delivery today at the World Affairs Council in Los Angeles, California>
M0031;McCain;March 31, 2008;McCainSpeeches0803.txt;Service to America: Meridian, MS>; Meridian, MS>;
M0032;McCain;April 1, 2008;McCainSpeeches0804.txt;Service to America: Episcopal High School in Alexandria, Virginia>; Alexandria, Virginia>;"U.S. Senator John McCain will deliver the following remarks as prepared for delivery during the second stop of his ""Service to America"" tour today at Episcopal High School in Alexandria, Virginia at 10:45 a.m. EST>"
M0033;McCain;April 2, 2008;McCainSpeeches0804.txt;Service to America: Address at the Naval Academy, Annapolis, MD; Annapolis, MD;
M0034;McCain;April 3, 2008;McCainSpeeches0804.txt;Service to America: Address at Jacksonville, FL>;;
M0035;McCain;April 4, 2008;McCainSpeeches0804.txt;John McCain's Remarks To Southern Christian Leadership Conference>;;
M0036;McCain;April 5, 2008;McCainSpeeches0804.txt;Service to America: John McCain's Remarks In Prescott, Arizona; Prescott, Arizona;
M0037;McCain;April 7, 2008;McCainSpeeches0804.txt;Remarks By John McCain To The Members Of The Veterans Of Foreign Wars (VFW)>;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery to the members of the National VFW Headquarters in Kansas City, Missouri, at 9:45 a.m. CST>
M0038;McCain;April 10, 2008;McCainSpeeches0804.txt;Remarks By John McCain On The Economy At Brooklyn Small Business Roundtable>;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at a small business roundtable in Brooklyn, New York, today at 12:45 p.m. EST>
M0039;McCain;April 15, 2008;McCainSpeeches0804.txt;Remarks By John McCain On The Economy;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at Carnegie Mellon University in Pittsburgh, PA, today at 9:45 a.m. EDT>
M0040;McCain;;McCainSpeeches0804.txt;Remarks By John McCain On Day Two Of The Time For Action Tour;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at Youngstown State University, in Youngstown, OH, today at 12:00 p.m. EDT>
M0041;McCain;April 23, 2008;McCainSpeeches0804.txt;Remarks By John McCain On Day Three Of The It's Time For Action Tour>;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at a town hall meeting at the Old Martin County Courthouse, in Inez, KY, today at 11:15 a.m. EDT>
M0042;McCain;April 28, 2008;McCainSpeeches0804.txt;"Remarks By John McCain on Day One of the ""Call to Action"" Tour";;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at Miami Children's Hospital, in Miami, FL, today at 10:00 a.m. EDT>
M0043;McCain;April 29, 2008;McCainSpeeches0804.txt;"Remarks By John McCain On Health Care On Day Two Of The ""Call To Action Tour""";;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at the University of South Florida -- Lee Moffitt Cancer Center & Research Institute, in Tampa, FL, today at 10:00 a.m. EDT
M0044;McCain;May 1, 2008;McCainSpeeches0805.txt;"Remarks By John McCain On Day Four Of The ""Call To Action Tour""";;U.S. Senator John McCain will deliver the following remarks as prepared for delivery in Cleveland, Ohio, today at 10:10 a.m. EDT
M0045;McCain;May 6, 2008;McCainSpeeches0805.txt;Remarks By John McCain on Judicial Philosophy>;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at Wake Forest University, in Winston-Salem, NC, today at 10:00 a.m. EDT
M0046;McCain;May 7, 2008;McCainSpeeches0805.txt;Remarks By John McCain on His Vision for Defending the Freedom and Dignity of the World's Vulnerable>;;U.S. Senator John McCain delivered the following remarks as prepared for delivery
M0047;McCain;May 12, 2008;McCainSpeeches0805.txt;Remarks By John McCain on Climate Change Policy;;U.S. Senator John McCain delivered the following remarks as prepared for delivery at the Vestas Training Facility, in Portland, OR
M0048;McCain;May 15, 2008;McCainSpeeches0805.txt;John McCain's Four Year Vision for America>;;U.S. Senator John McCain delivered the following remarks as prepared for delivery at the Greater Columbus Convention Center, in Columbus, OH, today at 10:00 a.m. EDT
M0049;McCain;May 16, 2008;McCainSpeeches0805.txt;Remarks By John McCain At The National Rifle Association Annual Meeting;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at the National Rifle Association of America Annual Meeting, in Louisville, KY, today at 4:30 p.m. EDT
M0050;McCain;May 19, 2008;McCainSpeeches0805.txt;Remarks By John McCain on America's Leadership in the Global Economy;;U.S. Senator John McCain delivered the following remarks as prepared for delivery to the National Restaurant Association, in Chicago, Illinois, today at 10:15 a.m. CDT
M0051;McCain;May 20, 2008;McCainSpeeches0805.txt;Remarks by John McCain on Cuban Independence Day;;U.S. Senator John McCain delivered the following remarks as prepared for delivery in Miami, Florida, today at 11:00 a.m. EDT>
M0052;McCain;;McCainSpeeches0805.txt;Remarks By John McCain On Memorial Day;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at the New Mexico Veterans Memorial in Albuquerque, New Mexico, today at 10:30 a.m. MDT (12:30 p.m. EDT)
M0053;McCain;May 27, 2008;McCainSpeeches0805.txt;Remarks By John McCain on Nuclear Security;;U.S. Senator John McCain delivered the following remarks as prepared for delivery at the University of Denver in Denver, Colorado
M0054;McCain;June 28, 2008;McCainSpeeches0806.txt;Remarks by John McCain at the NALEO Conference;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery to the National Association of Latino Elected and Appointed Officials (NALEO) Conference in Washington, D.C.
M0055;McCain;June 25, 2008;McCainSpeeches0806.txt;Remarks by John McCain on his Comprehensive Plan for Energy Security;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery in Las Vegas, NV
M0056;McCain;June 24, 2008;McCainSpeeches0806.txt;Remarks by John McCain on Energy Security and Safeguarding Our Environment;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at an environmental and energy briefing in Santa Barbara, CA,
M0057;McCain;June 23, 2008;McCainSpeeches0806.txt;Remarks By John McCain on Energy Security and Our National Security;;U.S. Senator John McCain delivered the following remarks as prepared for delivery at a town hall meeting in Fresno, CA
M0058;McCain;June 20, 2008;McCainSpeeches0806.txt;Remarks By John McCain On The Relationship Between The United States And Canada;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery to the Economic Club of Toronto in Ottawa, Canada
M0059;McCain;June 18, 2008;McCainSpeeches0806.txt;Remarks By John McCain On Energy Security And The Economy;;U.S. Senator John McCain delivered the following remarks as prepared for delivery at a briefing on energy and economic policy in Springfield, MO
M0060;McCain;June 17, 2008;McCainSpeeches0806.txt;Remarks By John McCain On Energy Security;;
M0061;McCain;June 10, 2008;McCainSpeeches0806.txt;Remarks by John McCain at the NFIB and eBay 2008 National Small Business Summit;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at the NFIB & eBay 2008 National Small Business Summit in Washington, D.C.
M0062;McCain;June 3, 2008;McCainSpeeches0806.txt;Remarks By John McCain In New Orleans;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery tonight in New Orleans, LA
M0063;McCain;June 2, 2008;McCainSpeeches0806.txt;Remarks By John McCain at AIPAC;;U.S. Senator John McCain delivered the following remarks as prepared for delivery at the AIPAC Policy Conference in Washington, D.C.
M0064;McCain;July 26, 2008;McCainSpeeches0807.txt;Remarks By John McCain Americans with Disabilities Conference;;U.S. Senator John McCain's presidential campaign today released the following remarks by John McCain as prepared for delivery via satellite to the Americans with Disabilities conference
M0065;McCain;July 25, 2008;McCainSpeeches0807.txt;Remarks By John McCain At The American GI Forum;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at the 2008 American GI Forum of the United States National Convention in Denver, CO
M0066;McCain;July 16, 2008;McCainSpeeches0807.txt;Remarks by John McCain to the 99th Annual NAACP Convention;;U.S. Senator John McCain delivered the following remarks as prepared for delivery to the 99th Annual NAACP Convention in Cincinnati, OH
M0067;McCain;July 14, 2008;McCainSpeeches0807.txt;Remarks by John McCain at the 2008 National Council of La Raza Convention;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery to the 2008 National Council of La Raza Convention in San Diego, CA
